Question,Options,Correct Option,Explanation,Topic
"Two, trains, one from Howrah to Patna and the other from Patna to Howrah, start simultaneously. After they meet, the trains reach their destinations after 9 hours and 16 hours respectively. The ratio of their speeds is:","['2 : 3', '4 : 3', '6 : 7', '9 : 16']",B,"Let us name the trains as A and B. Then,(A's speed) : (B's speed) =b:a=16:9= 4 : 3.",problems-on-trains
A person crosses a 600 m long street in 5 minutes. What is his speed in km per hour?,"['3.6', '7.2', '8.4', '10']",B,Speed =600m/sec.5 x 60= 2 m/sec.Converting m/sec to km/hr (seeimportant formulassection)=2 x18km/hr5= 7.2 km/hr.,time-and-distance
"An aeroplane covers a certain distance at a speed of 240 kmph in 5 hours. To cover the same distance in 1hours, it must travel at a speed of:","['300 kmph', '360 kmph', '600 kmph', '720 kmph']",D,Distance = (240 x 5) = 1200 km.Speed = Distance/TimeSpeed = 1200/(5/3) km/hr.     [We can write 1hours as 5/3 hours]Required speed =1200 x3km/hr= 720 km/hr.5,time-and-distance
"If a person walks at 14 km/hr instead of 10 km/hr, he would have walked 20 km more. The actual distance travelled by him is:","['50 km', '56 km', '70 km', '80 km']",A,"Let the actual distance travelled bexkm.Then,x=x+ 20101414x= 10x+ 2004x= 200x= 50 km.",time-and-distance
"A train can travel 50% faster than a car. Both start from point A at the same time and reach point B 75 kms away from A at the same time. On the way, however, the train lost about 12.5 minutes while stopping at the stations. The speed of the car is:","['100 kmph', '110 kmph', '120 kmph', '130 kmph']",C,"Let speed of the car bexkmph.Then, speed of the train =150x=3xkmph.100275-75=125x(3/2)x10 x 6075-50=5xx24x=25 x24= 120 kmph.5",time-and-distance
"Excluding stoppages, the speed of a bus is 54 kmph and including stoppages, it is 45 kmph. For how many minutes does the bus stop per hour?","['9', '10', '12', '20']",B,"Due to stoppages, it covers 9 km less.Time taken to cover 9 km =9x 60min= 10 min.54",time-and-distance
"In a flight of 600 km, an aircraft was slowed down due to bad weather. Its average speed for the trip was reduced by 200 km/hr and the time of flight increased by 30 minutes. The duration of the flight is:","['1 hour', '2 hours', '3 hours', '4 hours']",A,"Let the duration of the flight bexhours.Then,600-600= 200xx+ (1/2)600-1200= 200x2x+ 1x(2x+ 1) = 32x2+x- 3 = 0(2x+ 3)(x- 1) = 0x= 1 hr.      [neglecting the -ve value ofx]",time-and-distance
A man complete a journey in 10 hours. He travels first half of the journey at the rate of 21 km/hr and second half at the rate of 24 km/hr. Find the total journey in km.,"['220 km', '224 km', '230 km', '234 km']",B,(1/2)x+(1/2)x= 102124x+x= 20212415x= 168 x 20x=168 x 20= 224 km.15,time-and-distance
"The ratio between the speeds of two trains is 7 : 8. If the second train runs 400 km in 4 hours, then the speed of the first train is:","['70 km/hr', '75 km/hr', '84 km/hr', '87.5 km/hr']",D,"Let the speed of two trains be 7xand 8xkm/hr.Then, 8x=400= 1004x=100= 12.58Speed of first train = (7 x 12.5) km/hr = 87.5 km/hr.",time-and-distance
A man on tour travels first 160 km at 64 km/hr and the next 160 km at 80 km/hr. The average speed for the first 320 km of the tour is:,"['35.55 km/hr', '36 km/hr', '71.11 km/hr', '71 km/hr']",C,Total time taken =160+160hrs.=9hrs.64802Average speed =320 x2km/hr= 71.11 km/hr.9,time-and-distance
A car travelling withof its actual speed covers 42 km in 1 hr 40 min 48 sec. Find the actual speed of the car.,"['176km/hr7', '25 km/hr', '30 km/hr', '35 km/hr']",D,"Time taken = 1 hr 40 min 48 sec = 1 hr 404min = 151hrs =126hrs.57575Let the actual speed bexkm/hr.Then,5xx126= 42775x=42 x 7 x 75= 35 km/hr.5 x 126",time-and-distance
"In covering a distance of 30 km, Abhay takes 2 hours more than Sameer. If Abhay doubles his speed, then he would take 1 hour less than Sameer. Abhay's speed is:","['5 kmph', '6 kmph', '6.25 kmph', '7.5 kmph']",A,"Let Abhay's speed bexkm/hr.Then,30-30= 3x2x6x= 30x= 5 km/hr.",time-and-distance
"Robert is travelling on his cycle and has calculated to reach point A at 2 P.M. if he travels at 10 kmph, he will reach there at 12 noon if he travels at 15 kmph. At what speed must he travel to reach A at 1 P.M.?","['8 kmph', '11 kmph', '12 kmph', '14 kmph']",C,"Let the distance travelled byxkm.Then,x-x= 210153x- 2x= 60x= 60 km.Time taken to travel 60 km at 10 km/hr =60hrs= 6 hrs.10So, Robert started 6 hours before 2 P.M.i.e.,at 8 A.M.Required speed =60kmph.= 12 kmph.5",time-and-distance
"It takes eight hours for a 600 km journey, if 120 km is done by train and the rest by car. It takes 20 minutes more, if 200 km is done by train and the rest by car. The ratio of the speed of the train to that of the cars is:","['2 : 3', '3 : 2', '3 : 4', '4 : 3']",C,"Let the speed of the train bexkm/hr and that of the car beykm/hr.Then,120+480= 81+4=1....(i)xyxy15And,200+400=251+2=1....(ii)xy3xy24Solving (i) and  (ii), we get:x= 60 andy= 80.Ratio of speeds = 60 : 80 = 3 : 4.",time-and-distance
A farmer travelled a distance of 61 km in 9 hours. He travelled partly on foot @ 4 km/hr and partly on bicycle @ 9 km/hr. The distance travelled on foot is:,"['14 km', '15 km', '16 km', '17 km']",C,"Let the distance travelled on foot bexkm.Then, distance travelled on bicycle = (61 -x) km.So,x+(61 -x)= 9499x+ 4(61 -x) = 9 x 365x= 80x= 16 km.",time-and-distance
"A man covered a certain distance at some speed. Had he moved 3 kmph faster, he would have taken 40 minutes less. If he had moved 2 kmph slower, he would have taken 40 minutes more. The distance (in km) is:","['35', '3623', '3712', '40']",D,"Let distance =xkm and usual rate =ykmph.Then,x-x=402y(y+ 3) = 9x....(i)yy+ 360And,x-x=40y(y- 2) = 3x....(ii)y-2y60On dividing (i) by (ii), we get:x= 40.",time-and-distance
"Two ships are sailing in the sea on the two sides of a lighthouse. The angle of elevation of the top of the lighthouse is observed from the ships are 30° and 45° respectively. If the lighthouse is 100 m high, the distance between the two ships is:","['173 m', '200 m', '273 m', '300 m']",C,"Let AB be the lighthouse and C and D be the positions of the ships.Then, AB = 100 m,ACB = 30° andADB = 45°.AB= tan 30° =1AC = AB x3= 1003m.AC3AB= tan 45° = 1AD = AB = 100 m.ADCD = (AC + AD)= (1003+ 100) m= 100(3+ 1)= (100 x 2.73) m= 273 m.",height-and-distance
"A man standing at a point P is watching the top of a tower, which makes an angle of elevation of 30° with the man's eye. The man walks some distance towards the tower to watch its top and the angle of the elevation becomes 60°. What is the distance between the base of the tower and the point P?","['43units', '8 units', '12 units', 'Data inadequate', 'None of these']",D,"One of AB, AD and CD must have given.So, the data is inadequate.",height-and-distance
The angle of elevation of a ladder leaning against a wall is 60° and the foot of the ladder is 4.6 m away from the wall. The length of the ladder is:,"['2.3 m', '4.6 m', '7.8 m', '9.2 m']",D,"Let AB be the wall and BC be the ladder.Then,ACB = 60° and AC = 4.6 m.AC= cos 60° =1BC2BC= 2 x AC= (2 x 4.6) m= 9.2 m.",height-and-distance
An observer 1.6 m tall is 203away from a tower. The angle of elevation from his eye to the top of the tower is 30°. The height of the tower is:,"['21.6 m', '23.2 m', '24.72 m', 'None of these']",A,"Let AB be the observer and CD be the tower.Draw BECD.Then, CE = AB = 1.6 m,BE = AC = 203m.DE= tan 30° =1BE3DE =203m = 20 m.3CD = CE + DE = (1.6 + 20) m = 21.6 m.",height-and-distance
"From a point P on a level ground, the angle of elevation of the top tower is 30°. If the tower is 100 m high, the distance of point P from the foot of the tower is:","['149 m', '156 m', '173 m', '200 m']",C,"Let AB be the tower.Then,APB = 30° and AB = 100 m.AB= tan 30° =1AP3AP= (AB x3) m= 1003m= (100 x 1.73) m= 173 m.",height-and-distance
"The angle of elevation of the sun, when the length of the shadow of a tree3times the height of the tree, is:","['30°', '45°', '60°', '90°']",A,"Let AB be the tree and AC be its shadow.LetACB =.Then,AC=3cot=3AB= 30°.",height-and-distance
"A can do a work in 15 days and B in 20 days. If they work on it together for 4 days, then the fraction of the work that is left is :","['14', '110', '715', '815']",D,"A's 1 day's work =1;15B's 1 day's work =1;20(A + B)'s 1 day's work =1+1=7.152060(A + B)'s 4 day's work =7x 4=7.6015Therefore, Remaining work =1 -7=8.1515",time-and-work
"A can lay railway track between two given stations in 16 days and B can do the same job in 12 days. With help of C, they did the job in 4 days only. Then, C alone can do the job in:","['91days5', '92days5', '93days5', '10']",C,"(A + B + C)'s 1 day's work =1,4A's 1 day's work =1,16B's 1 day's work =1.12C's 1 day's work =1-1+1=1-7=5.4161244848So, C alone can do the work in48= 93days.55",time-and-work
"A, B and C can do a piece of work in 20, 30 and 60 days respectively. In how many days can A do the work if he is assisted by B and C on every third day?","['12 days', '15 days', '16 days', '18 days']",B,"A's 2 day's work =1x 2=1.2010(A + B + C)'s 1 day's work =1+1+1=6=1.2030606010Work done in 3 days =1+1=1.10105Now,1work is done in 3 days.5Whole work will be done in (3 x 5) = 15 days.",time-and-work
"A is thrice as good as workman as B and therefore is able to finish a job in 60 days less than B. Working together, they can do it in:","['20 days', '221days2', '25 days', '30 days']",B,"Ratio of times taken by A and B = 1 : 3.The time difference is (3 - 1) 2 days while B take 3 days and A takes 1 day.If difference of time is 2 days, B takes 3 days.If difference of time is 60 days, B takes3x 60= 90 days.2So, A takes 30 days to do the work.A's 1 day's work =130B's 1 day's work =190(A + B)'s 1 day's work =1+1=4=230909045A and B together can do the work in45= 221days.22",time-and-work
"A alone can do a piece of work in 6 days and B alone in 8 days. A and B undertook to do it for Rs. 3200. With the help of C, they completed the work in 3 days. How much is to be paid to C?","['Rs. 375', 'Rs. 400', 'Rs. 600', 'Rs. 800']",B,C's 1 day's work =1-1+1=1-7=1.36832424A's wages : B's wages : C's wages =1:1:1= 4 : 3 : 1.6824C's share (for 3 days) = Rs.3 x1x 3200= Rs. 400.24,time-and-work
"If 6 men and 8 boys can do a piece of work in 10 days while 26 men and 48 boys can do the same in 2 days, the time taken by 15 men and 20 boys in doing the same type of work will be:","['4 days', '5 days', '6 days', '7 days']",A,"Let 1 man's 1 day's work =xand 1 boy's 1 day's work =y.Then, 6x+ 8y=1and 26x+ 48y=1.102Solving these two equations, we get :x=1andy=1.100200(15 men + 20 boy)'s 1 day's work =15+20=1.100200415 men and 20 boys can do the work in 4 days.",time-and-work
"A can do a piece of work in 4 hours; B and C together can do it in 3 hours, while A and C together can do it in 2 hours. How long will B alone take to do it?","['8 hours', '10 hours', '12 hours', '24 hours']",C,A's 1 hour's work =1;4(B + C)'s 1 hour's work =1;3(A + C)'s 1 hour's work =1.2(A + B + C)'s 1 hour's work =1+1=7.4312B's 1 hour's work =7-1=1.12212B alone will take 12 hours to do the work.,time-and-work
"A can do a certain work in the same time in which B and C together can do it. If A and B together could do it in 10 days and C alone in 50 days, then B alone could do it in:","['15 days', '20 days', '25 days', '30 days']",C,"(A + B)'s 1 day's work =110C's 1 day's work =150(A + B + C)'s 1 day's work =1+1=6=3. .... (i)10505025A's 1 day's work = (B + C)'s 1 day's work .... (ii)From (i) and (ii), we get: 2 x (A's 1 day's work) =325A's 1 day's work =3.50B's 1 day's work1-3=2=1.10505025So, B alone could do the work in 25 days.",time-and-work
A does 80% of a work in 20 days. He then calls in B and they together finish the remaining work in 3 days. How long B alone would take to do the whole work?,"['23 days', '37 days', '37', '40 days']",C,"Whole work is done by A in20 x5= 25 days.4Now,1 -4i.e.,1work is done by A and B in 3 days.55Whole work will be done by A and B in (3 x 5) = 15 days.A's 1 day's work =1, (A + B)'s 1 day's work =1.2515B's 1 day's work =1-1=4=2.152515075So, B alone would do the work in75= 371days.22",time-and-work
"A machine P can print one lakh books in 8 hours, machine Q can print the same number of books in 10 hours while machine R can print them in 12 hours. All the machines are started at 9 A.M. while machine P is closed at 11 A.M. and the remaining two machines complete work. Approximately at what time will the work (to print one lakh books) be finished ?","['11:30 A.M.', '12 noon', '12:30 P.M.', '1:00 P.M.']",D,"(P + Q + R)'s 1 hour's work =1+1+1=37.81012120Work done by P, Q and R in 2 hours =37x 2=37.12060Remaining work =1 -37=23.6060(Q + R)'s 1 hour's work =1+1=11.101260Now,11work is done by Q and R in 1 hour.60So,23work will be done by Q and R in60x23=23hours2 hours.60116011So, the work will be finished approximately 2 hours after 11 A.M., i.e., around 1 P.M.",time-and-work
"A and B can do a work in 8 days, B and C can do the same work in 12 days. A, B and C together can finish it in 6 days. A and C together will do it in :","['4 days', '6 days', '8 days', '12 days']",C,"(A + B + C)'s 1 day's work =1;6(A + B)'s 1 day's work =1;8(B + C)'s 1 day's work =1.12(A + C)'s 1 day's work=2 x1-1+16812=1-5324=324=1.8So, A and C together will do the work in 8 days.",time-and-work
"A can finish a work in 24 days, B in 9 days and C in 12 days. B and C start the work but are forced to leave after 3 days. The remaining work was done by A in:","['5 days', '6 days', '10 days', '101days2']",C,"(B + C)'s 1 day's work =1+1=7.91236Work done by B and C in 3 days =7x 3=7.3612Remaining work =1 -7=5.1212Now,1work is done by A in 1 day.24So,5work is done by A in24 x5= 10 days.1212",time-and-work
X can do a piece of work in 40 days. He works at it for 8 days and then Y finished it in 16 days. How long will they together take to complete the work?,"['131days3', '15 days', '20 days', '26 days']",A,"Work done by X in 8 days =1x 8=1.405Remaining work =1 -1=4.55Now,4work is done by Y in 16 days.5Whole work will be done by Y in16 x5= 20 days.4X's 1 day's work =1, Y's 1 day's work =1.4020(X + Y)'s 1 day's work =1+1=3.402040Hence, X and Y will together complete the work in40= 131days.33",time-and-work
A and B can do a job together in 7 days. A is 1times as efficient as B. The same job can be done by A alone in :,"['91days3', '11 days', '121days4', '161days3']",B,"(A's 1 day's work) : (B's 1 day's work) =7: 1   =   7 : 4.4Let A's and B's 1 day's work be 7xand 4xrespectively.Then, 7x+ 4x=111x=1x=1.7777A's 1 day's work =1x 7=1.7711",time-and-work
"A and B together can do a piece of work in 30 days. A having worked for 16 days, B finishes the remaining work alone in 44 days. In how many days shall B finish the whole work alone?","['30 days', '40 days', '60 days', '70 days']",C,"Let A's 1 day's work =xand B's 1 day's work =y.Then,x+y=1and 16x+ 44y= 1.30Solving these two equations, we get:x=1andy=16060B's 1 day's work =1.60Hence, B alone shall finish the whole work in 60 days.",time-and-work
A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is:,"['Rs. 650', 'Rs. 690', 'Rs. 698', 'Rs. 700']",C,S.I. for 1 year = Rs. (854 - 815) = Rs. 39.S.I. for 3 years = Rs.(39 x 3) = Rs. 117.Principal = Rs. (815 - 117) = Rs. 698.,simple-interest
"Mr. Thomas invested an amount of Rs. 13,900 divided in two different schemes A and B at the simple interest rate of 14% p.a. and 11% p.a. respectively. If the total amount of simple interest earned in 2 years be Rs. 3508, what was the amount invested in Scheme B?","['Rs. 6400', 'Rs. 6500', 'Rs. 7200', 'Rs. 7500', 'None of these']",A,"Let the sum invested in Scheme A be Rs.xand that in Scheme B be Rs. (13900 -x).Then,xx 14 x 2+(13900 -x) x 11 x 2= 350810010028x- 22x= 350800 - (13900 x 22)6x= 45000x= 7500.So, sum invested in Scheme B = Rs. (13900 - 7500) = Rs. 6400.Video Explanation:https://youtu.be/Xi4kU9y6ppk",simple-interest
A sum fetched a total simple interest of Rs. 4016.25 at the rate of 9 p.c.p.a. in 5 years. What is the sum?,"['Rs. 4462.50', 'Rs. 8032.50', 'Rs. 8900', 'Rs. 8925', 'None of these']",D,Principal= Rs.100 x 4016.259 x 5= Rs.40162545= Rs. 8925.,simple-interest
How much time will it take for an amount of Rs. 450 to yield Rs. 81 as interest at 4.5% per annum of simple interest?,"['3.5 years', '4 years', '4.5 years', '5 years']",B,Time =100 x 81years= 4 years.450 x 4.5Video Explanation:https://youtu.be/WdBzN0Sj8jc,simple-interest
"Reena took a loan of Rs. 1200 with simple interest for as many years as the rate of interest. If she paid Rs. 432 as interest at the end of the loan period, what was the rate of interest?","['3.6', '6', '18', 'Cannot be determined', 'None of these']",B,"Let rate = R% and time = R years.Then,1200 x R x R= 43210012R2= 432R2= 36R = 6.Video Explanation:https://youtu.be/TjjI4iRkzT0",simple-interest
"A sum of Rs. 12,500 amounts to Rs. 15,500 in 4 years at the rate of simple interest. What is the rate of interest?","['3%', '4%', '5%', '6%', 'None of these']",D,S.I. = Rs. (15500 - 12500) = Rs. 3000.Rate =100 x 3000%= 6%12500 x 4Video Explanation:https://youtu.be/SIcQu1HOmOk,simple-interest
"An automobile financier claims to be lending money at simple interest, but he includes the interest every six months for calculating the principal. If he is charging an interest of 10%, the effective rate of interest becomes:","['10%', '10.25%', '10.5%', 'None of these']",B,"Let the sum be Rs. 100. Then,S.I. for first 6 months = Rs.100 x 10 x 1= Rs. 5100 x 2S.I. for last 6 months = Rs.105 x 10 x 1= Rs. 5.25100 x 2So, amount at the end of 1 year = Rs. (100 + 5 + 5.25) = Rs. 110.25Effective rate = (110.25 - 100) = 10.25%",simple-interest
A lent Rs. 5000 to B for 2 years and Rs. 3000 to C for 4 years on simple interest at the same rate of interest and received Rs. 2200 in all from both of them as interest. The rate of interest per annum is:,"['5%', '7%', '71%8', '10%']",D,"Let the rate be R% p.a.Then,5000 x R x 2+3000 x R x 4= 2200.100100100R + 120R = 2200R =2200= 10.220Rate = 10%.",simple-interest
"A sum of Rs. 725 is lent in the beginning of a year at a certain rate of interest. After 8 months, a sum of Rs. 362.50 more is lent but at the rate twice the former. At the end of the year, Rs. 33.50 is earned as interest from both the loans. What was the original rate of interest?","['3.6%', '4.5%', '5%', '6%', 'None of these']",E,"Let the original rate be R%. Then, new rate = (2R)%.Note:Here, original rate is for 1 year(s); the new rate is for only 4 months i.e.year(s).725 x R x 1+362.50 x 2R x 1= 33.50100100 x 3(2175 + 725) R = 33.50 x 100 x 3(2175 + 725) R = 10050(2900)R = 10050R =10050= 3.462900Original rate = 3.46%",simple-interest
A man took loan from a bank at the rate of 12% p.a. simple interest. After 3 years he had to pay Rs. 5400 interest only for the period. The principal amount borrowed by him was:,"['Rs. 2000', 'Rs. 10,000', 'Rs. 15,000', 'Rs. 20,000']",C,Principal = Rs.100 x 5400= Rs. 15000.12 x 3,simple-interest
A sum of money amounts to Rs. 9800 after 5 years and Rs. 12005 after 8 years at the same rate of simple interest. The rate of interest per annum is:,"['5%', '8%', '12%', '15%']",C,"S.I. for 3 years = Rs. (12005 - 9800) = Rs. 2205.S.I. for 5 years = Rs.2205x 5= Rs. 36753Principal = Rs. (9800 - 3675) = Rs. 6125.Hence, rate =100 x 3675%= 12%6125 x 5Video Explanation:https://youtu.be/UYwiBCRN39s",simple-interest
What will be the ratio of simple interest earned by certain amount at the same rate of interest for 6 years and that for 9 years?,"['1 : 3', '1 : 4', '2 : 3', 'Data inadequate', 'None of these']",C,Let the principal be P and rate of interest be R%.Required ratio =P x R x 6100=6PR=6= 2 : 3.P x R x 91009PR9Video Explanation:https://youtu.be/GaaEDwTWc6w,simple-interest
"A certain amount earns simple interest of Rs. 1750 after 7 years. Had the interest been 2% more, how much more interest would it have earned?","['Rs. 35', 'Rs. 245', 'Rs. 350', 'Cannot be determined', 'None of these']",D,"We need to know the S.I., principal and time to find the rate.Since the principal is not given, so data is inadequate.",simple-interest
A person borrows Rs. 5000 for 2 years at 4% p.a. simple interest. He immediately lends it to another person at 6% p.a for 2 years. Find his gain in the transaction per year.,"['Rs. 112.50', 'Rs. 125', 'Rs. 225', 'Rs. 167.50']",A,Gain in 2 years= Rs.5000 x25x2-5000 x 4 x 24100100= Rs. (625 - 400)= Rs. 225.Gain in 1 year = Rs.225= Rs. 112.502Video Explanation:https://youtu.be/zBjcwqIcmL4,simple-interest
"A bank offers 5% compound interest calculated on half-yearly basis. A customer deposits Rs. 1600 each on 1stJanuary and 1stJuly of a year. At the end of the year, the amount he would have gained by way of interest is:","['Rs. 120', 'Rs. 121', 'Rs. 122', 'Rs. 123']",B,Amount= Rs.1600 x1 +52+ 1600 x1 +52 x 1002 x 100= Rs.1600 x41x41+ 1600 x41404040= Rs.1600 x4141+ 14040= Rs.1600 x 41 x 8140 x 40= Rs. 3321.C.I. = Rs. (3321 - 3200) = Rs. 121,compound-interest
The difference between simple and compound interests compounded annually on a certain sum of money for 2 years at 4% per annum is Re. 1. The sum (in Rs.) is:,"['625', '630', '640', '650']",A,"Let the sum be Rs.x. Then,C.I. =x1 +42-x=676x-x=51x.100625625S.I. =xx 4 x 2=2x.1002551x-2x= 162525x= 625.",compound-interest
"There is 60% increase in an amount in 6 years at simple interest. What will be the compound interest of Rs. 12,000 after 3 years at the same rate?","['Rs. 2160', 'Rs. 3120', 'Rs. 3972', 'Rs. 6240', 'None of these']",C,"Let P = Rs. 100. Then, S.I. Rs. 60 and T = 6 years.R =100 x 60= 10% p.a.100 x 6Now, P = Rs. 12000. T = 3 years and R = 10% p.a.C.I.= Rs.12000 x1 +103- 1100= Rs.12000 x3311000= 3972.",compound-interest
What is the difference between the compound interests on Rs. 5000 for 1years at 4% per annum compounded yearly and half-yearly?,"['Rs. 2.04', 'Rs. 3.06', 'Rs. 4.80', 'Rs. 8.30']",A,C.I. when interestcompounded yearly= Rs.5000 x1 +4x1 +x 4100100= Rs.5000 x26x512550= Rs. 5304.C.I. when interest iscompounded half-yearly= Rs.5000 x1 +23100= Rs.5000 x51x51x51505050= Rs. 5306.04Difference = Rs. (5306.04 - 5304) = Rs. 2.04,compound-interest
"The compound interest on Rs. 30,000 at 7% per annum is Rs. 4347. The period (in years) is:","['2', '212', '3', '4']",A,"Amount = Rs. (30000 + 4347) = Rs. 34347.Let the time benyears.Then, 300001 +7n= 34347100107n=34347=11449=10721003000010000100n= 2 years.",compound-interest
"What will be the compound interest on a sum of Rs. 25,000 after 3 years at the rate of 12 p.c.p.a.?","['Rs. 9000.30', 'Rs. 9720', 'Rs. 10123.20', 'Rs. 10483.20', 'None of these']",C,Amount= Rs.25000 x1 +123100= Rs.25000 x28x28x28252525= Rs. 35123.20C.I. = Rs. (35123.20 - 25000) = Rs. 10123.20,compound-interest
At what rate of compound interest per annum will a sum of Rs. 1200 become Rs. 1348.32 in 2 years?,"['6%', '6.5%', '7%', '7.5%']",A,"Let the rate be R% p.a.Then, 1200 x1 +R2= 1348.321001 +R2=134832=11236100120000100001 +R2=10621001001 +R=106100100R = 6%",compound-interest
The least number of complete years in which a sum of money put out at 20% compound interest will be more than doubled is:,"['3', '4', '5', '6']",B,"P1 +20n> 2P6n> 2.1005Now,6x6x6x6> 2.5555So,n= 4 years.",compound-interest
Albert invested an amount of Rs. 8000 in a fixed deposit scheme for 2 years at compound interest rate 5 p.c.p.a. How much amount will Albert get on maturity of the fixed deposit?,"['Rs. 8600', 'Rs. 8620', 'Rs. 8820', 'None of these']",C,Amount= Rs.8000 x1 +52100= Rs.8000 x21x212020= Rs. 8820.,compound-interest
The effective annual rate of interest corresponding to a nominal rate of 6% per annum payable half-yearly is:,"['6.06%', '6.07%', '6.08%', '6.09%']",D,Amount of Rs. 100 for 1 yearwhen compounded half-yearly= Rs.100 x1 +32= Rs. 106.09100Effective rate = (106.09 - 100)% = 6.09%,compound-interest
Simple interest on a certain sum of money for 3 years at 8% per annum is half the compound interest on Rs. 4000 for 2 years at 10% per annum. The sum placed on simple interest is:,"['Rs. 1550', 'Rs. 1650', 'Rs. 1750', 'Rs. 2000']",C,C.I.= Rs.4000 x1 +102- 4000100= Rs.4000 x11x11- 40001010= Rs. 840.Sum = Rs.420 x 100= Rs. 1750.3 x 8,compound-interest
"If the simple interest on a sum of money for 2 years at 5% per annum is Rs. 50, what is the compound interest on the same at the same rate and for the same time?","['Rs. 51.25', 'Rs. 52', 'Rs. 54.25', 'Rs. 60']",A,Sum = Rs.50 x 100= Rs. 500.2 x 5Amount= Rs.500 x1 +52100= Rs.500 x21x212020= Rs. 551.25C.I. = Rs. (551.25 - 500) = Rs. 51.25,compound-interest
The difference between simple interest and compound on Rs. 1200 for one year at 10% per annum reckoned half-yearly is:,"['Rs. 2.50', 'Rs. 3', 'Rs. 3.75', 'Rs. 4', 'None of these']",B,S.I. = Rs1200 x 10 x 1= Rs. 120.100C.I. = Rs.1200 x1 +52- 1200= Rs. 123.100Difference = Rs. (123 - 120) = Rs. 3.,compound-interest
